date,wl
2020-01-01,4.90000000
2020-01-02,5.26507229
2020-01-03,5.45275199
2020-01-04,5.54242114
2020-01-05,5.63352782
2020-01-06,5.78856590
2020-01-07,5.99603691
2020-01-08,6.17130284
2020-01-09,6.19526660
2020-01-10,5.97284951
2020-01-11,5.48369963
2020-01-12,4.80094257
2020-01-13,4.06851670
2020-01-14,3.44684110
2020-01-15,3.05127345
2020-01-16,2.91115118
2020-01-17,2.96761570
2020-01-18,3.11038087
2020-01-19,3.23555705
2020-01-20,3.29701291
2020-01-21,3.32703813
2020-01-22,3.41670728
2020-01-23,3.66546844
2020-01-24,4.12412295
2020-01-25,4.75865451
2020-01-26,5.45275199
2020-01-27,6.04883892
2020-01-28,6.40940487
2020-01-29,6.47086073
2020-01-30,6.26549618
2020-01-31,5.90184357
2020-02-01,5.51297177
2020-02-02,5.19697246
2020-02-03,4.97728185
2020-02-04,4.80094257
2020-02-05,4.57493447
2020-02-06,4.22271815
2020-02-07,3.73356827
2020-02-08,3.18061045
2020-02-09,2.69815643
2020-02-10,2.42808604
2020-02-11,2.45968000
2020-02-12,2.79059513
2020-02-13,3.32703813
2020-02-14,3.92312506
2020-02-15,4.44134549
2020-02-16,4.80641778
2020-02-17,5.02811378
2020-02-18,5.18329272
2020-02-19,5.36654409
2020-02-20,5.63352782
2020-02-21,5.96444295
2020-02-22,6.26549618
2020-02-23,6.40826134
2020-02-24,6.28884882
2020-02-25,5.87926728
2020-02-26,5.24674112
2020-02-27,4.53148330
2020-02-28,3.89263965
2020-02-29,3.44684110
2020-03-01,3.22715049
2020-03-02,3.18061045
2020-03-03,3.20457421
2020-03-04,3.20396309
2020-03-05,3.14197483
2020-03-06,3.06005440
2020-03-07,3.05757886
2020-03-08,3.24083024
2020-03-09,3.66546844
2020-03-10,4.30000000
2020-03-11,5.02811378
2020-03-12,5.68971049
2020-03-13,6.14242114
2020-03-14,6.31582265
2020-03-15,6.23390222
2020-03-16,5.99603691
2020-03-17,5.72596652
2020-03-18,5.51297177
2020-03-19,5.37284951
2020-03-20,5.24674112
2020-03-21,5.03790108
2020-03-22,4.66851670
2020-03-23,4.12913592
2020-03-24,3.49660977
2020-03-25,2.91115118
2020-03-26,2.52227938
2020-03-27,2.42808604
2020-03-28,2.63555705
2020-03-29,3.06005440
2020-03-30,3.56399664
