date,wl,discharge
2020-01-05,5.63352782,74.10719552
2020-01-06,5.78856590,97.25794542
2020-01-08,6.17130284,104.47043080
2020-01-09,6.19526660,98.28685563
2020-01-12,4.80094257,55.64458748
2020-01-13,4.06851670,38.96098971
2020-01-15,3.05127345,20.18489230
2020-01-16,2.91115118,17.19163435
2020-01-17,2.96761570,19.58225828
2020-01-18,3.11038087,22.25294458
2020-01-19,3.23555705,22.36323928
2020-01-20,3.29701291,25.72549417
2020-01-21,3.32703813,25.68342285
2020-01-22,3.41670728,28.48428812
2020-01-23,3.66546844,32.78860780
2020-01-25,4.75865451,57.79951563
2020-01-26,5.45275199,71.26161487
2020-01-29,6.47086073,112.37377967
2020-02-01,5.51297177,80.08109459
2020-02-03,4.97728185,65.51934906
2020-02-04,4.80094257,57.76266053
2020-02-06,4.22271815,46.00953010
2020-02-07,3.73356827,32.26299824
2020-02-08,3.18061045,23.93395388
2020-02-11,2.45968000,11.61945113
2020-02-12,2.79059513,16.32886758
2020-02-13,3.32703813,23.67719572
2020-02-14,3.92312506,38.44667106
2020-02-15,4.44134549,46.76057591
2020-02-17,5.02811378,67.42801780
2020-02-18,5.18329272,63.21407930
2020-02-19,5.36654409,78.72877134
2020-02-20,5.63352782,72.99530302
2020-02-21,5.96444295,90.89958026
2020-02-22,6.26549618,95.42685787
2020-02-23,6.40826134,94.81058802
2020-02-25,5.87926728,89.91565255
2020-02-26,5.24674112,76.17701710
2020-02-27,4.53148330,50.82053494
2020-02-28,3.89263965,36.21140463
2020-03-05,3.14197483,19.87353335
2020-03-08,3.24083024,24.93624136
2020-03-10,4.30000000,49.14993893
2020-03-11,5.02811378,69.55514640
2020-03-13,6.14242114,109.94692112
2020-03-14,6.31582265,99.73218545
2020-03-15,6.23390222,92.75101579
2020-03-16,5.99603691,89.40507259
2020-03-17,5.72596652,87.23756117
2020-03-19,5.37284951,70.61143061
2020-03-20,5.24674112,67.94317803
2020-03-21,5.03790108,67.57077214
2020-03-22,4.66851670,60.27247188
2020-03-23,4.12913592,46.25285402
2020-03-24,3.49660977,30.19122374
2020-03-25,2.91115118,18.26692152
2020-03-26,2.52227938,11.87148447
2020-03-27,2.42808604,10.72903640
2020-03-29,3.06005440,17.89290919
2020-03-30,3.56399664,32.12998043
