date,wl,discharge
2025-01-01,1.00,12.4
2025-01-02,1.20,18.0
2025-01-03,1.40,25.8
2025-01-04,1.60,35.1
2025-01-05,1.80,46.0
2025-01-06,2.00,59.2
2025-01-07,2.20,75.6
2025-01-08,2.40,94.5
2025-01-09,2.60,116.2
2025-01-10,2.80,142.0
2025-01-11,3.00,171.5
2025-01-12,3.20,205.0
2025-01-13,3.40,244.1
2025-01-14,3.60,289.5
2025-01-15,3.80,343.2
2025-01-16,4.00,410.0
2025-01-17,4.20,493.0
2025-01-18,4.40,594.0
2025-01-19,4.60,715.0
2025-01-20,4.80,855.0
2025-01-21,5.00,1018.0
2025-01-22,5.20,1205.0
2025-01-23,5.40,1420.0
2025-01-24,5.60,1665.0
2025-01-25,5.80,1943.0
2025-01-26,6.00,2255.0
2025-01-27,6.20,2605.0
2025-01-28,6.40,2995.0
2025-01-29,6.60,3425.0
2025-01-30,6.80,3898.0
